FII;Vacancia;Inadimplencia;DataAtualizacao
KEVE11;0.0;0;22-06-2026 12:47
KFEN11;0.0;0;22-06-2026 12:47
KFOF11;0.0;0;22-06-2026 12:47
KGUJ11;0;0;22-06-2026 12:47
KISU11;0.0;0;22-06-2026 12:47
KIVO11;0.0;0;22-06-2026 12:47
KLOG11;0.3069;0;22-06-2026 12:47
KNCR11;0.0;0;22-06-2026 12:47
KNGR11;0;0;22-06-2026 12:47
KNHF11;0.0;0;22-06-2026 12:47
KNHY11;0.0;0;22-06-2026 12:47
KNIP11;0.0;0;22-06-2026 12:47
KNPR11;0.0;0;22-06-2026 12:47
KNRE11;0.0;0;22-06-2026 12:47
KNRI11;0.0409;0;22-06-2026 12:47
KNSC11;0.0;0;22-06-2026 12:47
KNUQ11;0.0;0;22-06-2026 12:47
KOIM11;0;0;22-06-2026 12:47
KORE11;0.0452;0;22-06-2026 12:47
KPMR11;0;0;22-06-2026 12:47
KPRP11;0;0;22-06-2026 12:47
KRES11;0.08;0;22-06-2026 12:47
LASC11;0.033;0.0107;22-06-2026 12:47
LIFE11;0.0;0;22-06-2026 12:47
LKDV11;0.0;0;22-06-2026 12:47
LLAO11;0.0;0;22-06-2026 12:47
LMAI11;0.159;0;22-06-2026 12:47
LOFT11;0;0;22-06-2026 12:47
LPLP11;0.0;0;22-06-2026 12:47
LRDI11;0.0;0;22-06-2026 12:47
LRED11;0.0;0;22-06-2026 12:47
LSII11;0;0;22-06-2026 12:47
LSOI11;0.0;0;22-06-2026 12:47
LSOP11;0;0;22-06-2026 12:47
LTMT11;0.0;0;22-06-2026 12:47
LVBI11;0.0;0;22-06-2026 12:47
MAGM11;0.0;0;22-06-2026 12:47
MANA11;0.0;0;22-06-2026 12:47
MAXR11;0.2581;0;22-06-2026 12:47
MCCI11;0.0;0;22-06-2026 12:47
MCEM11;0.0;0;22-06-2026 12:47
MCLO11;0.0;0;22-06-2026 12:47
MCMV11;0;0;22-06-2026 12:47
MCRE11;0.0;0;22-06-2026 12:47
MFII11;0.0;0;22-06-2026 12:47
MGHT11;0.0;0;22-06-2026 12:47
MGRI11;0.0;0;22-06-2026 12:47
MIDW11;0;0;22-06-2026 12:47
MMPD11;0.0;0;22-06-2026 12:47
MMVE11;0.0;0;22-06-2026 12:47
MOFF11;0.0;0;22-06-2026 12:47
MOSO11;0;0;22-06-2026 12:47
MTES11;0;0;22-06-2026 12:47
MTOF11;0.0;0;22-06-2026 12:47
MXRF11;0.0;0;22-06-2026 12:47
NAUI11;0;0;22-06-2026 12:47
NAVT11;0.0;0;22-06-2026 12:47
NCRI11;0.0;0;22-06-2026 12:47
NEWL11;0.0;0;22-06-2026 12:47
NEWU11;0.0;0;22-06-2026 12:47
NMKS11;0.0;0;22-06-2026 12:47
NSLU11;0.0;0;22-06-2026 12:47
NVHO11;0.0;0;22-06-2026 12:47
NVIF11;0.0;0;22-06-2026 12:47
OBAL11;0.0;0;22-06-2026 12:47
OCRE11;0.0;0;22-06-2026 12:47
ONDA11;0.0;0;22-06-2026 12:47
OPTM11;0.0;0;22-06-2026 12:47
OUJP11;0.0;0;22-06-2026 12:47
OXRL11;0.0;0;22-06-2026 12:47
PABY11;0.0;0;22-06-2026 12:47
PATA11;0.0;0;22-06-2026 12:47
PATB11;0.0;0;22-06-2026 12:47
PATC11;0.173;0;22-06-2026 12:47
PATL11;0.128;0;22-06-2026 12:47
PBLV11;0.0;0;22-06-2026 12:47
PCAS11;0.0;0;22-06-2026 12:47
PCIP11;0.0;0;22-06-2026 12:47
PDBM11;0;0;22-06-2026 12:47
PEMA11;0.0;0;22-06-2026 12:47
PLAG11;0.0;0;22-06-2026 12:47
PLRI11;0.0;0;22-06-2026 12:47
PMFO11;0.0;0;22-06-2026 12:47
PMIS11;0.0;0;22-06-2026 12:47
PMLL11;0.041;0;22-06-2026 12:47
PMRL11;0;0;22-06-2026 12:47
PNCR11;0.0;0;22-06-2026 12:47
PNDL11;0.0;0;22-06-2026 12:47
PNLM11;0.0;0;22-06-2026 12:47
PNPR11;0.084;0;22-06-2026 12:47
PNRC11;0.0;0;22-06-2026 12:47
PORD11;0.0;0;22-06-2026 12:47
PQAG11;0.0;0;22-06-2026 12:47
PQDP11;0.021;0;22-06-2026 12:47
PRSN11;0.0;0;22-06-2026 12:47
PRSV11;1.0;0;22-06-2026 12:47
PSEC11;0.0;0;22-06-2026 12:47
PULV11;0.0;0;22-06-2026 12:47
PVBI11;0.185;0;22-06-2026 12:47
QTZD11;0.0;0;22-06-2026 12:47
RBDS11;0.0;0;22-06-2026 12:47
RBFM11;0.0;0;22-06-2026 12:47
RBFY11;0;0;22-06-2026 12:47
RBHG11;0.0;0;22-06-2026 12:47
RBHY11;0.0;0;22-06-2026 12:47
RBIR11;0.0;0;22-06-2026 12:47
RBLG11;0.0;0;22-06-2026 12:47
